CHAMP1,CHAMP2,VICTORY,DEFEAT,TOTALPLAYED,PERCENTVICTORY,PERCENTDEFEAT,YEAR,SEASON,TEAM
Irelia,RekSai,5,4,9,0.5555555555555556,0.4444444444444444,2015,Spring,Blue
RekSai,Ahri,2,0,2,1.0,0.0,2015,Spring,Blue
RekSai,Janna,29,0,29,1.0,0.0,2015,Spring,Blue
Jinx,Janna,8,0,8,1.0,0.0,2015,Spring,Blue
Gnar,Elise,1,2,3,0.3333333333333333,0.6666666666666666,2015,Spring,Red
Elise,Fizz,1,0,1,1.0,0.0,2015,Spring,Red
Elise,Thresh,5,0,5,1.0,0.0,2015,Spring,Red
Sivir,Thresh,29,0,29,1.0,0.0,2015,Spring,Red
Gnar,Rengar,1,4,5,0.2,0.8,2015,Spring,Blue
Rengar,Ahri,1,0,1,1.0,0.0,2015,Spring,Blue
Rengar,Leona,5,0,5,1.0,0.0,2015,Spring,Blue
Caitlyn,Leona,1,0,1,1.0,0.0,2015,Spring,Blue
Irelia,JarvanIV,9,6,15,0.6,0.4,2015,Spring,Red
JarvanIV,Azir,3,0,3,1.0,0.0,2015,Spring,Red
JarvanIV,Annie,15,0,15,1.0,0.0,2015,Spring,Red
Corki,Annie,21,0,21,1.0,0.0,2015,Spring,Red
Renekton,Rengar,1,0,1,1.0,0.0,2015,Spring,Blue
Rengar,Fizz,1,0,1,1.0,0.0,2015,Spring,Blue
Rengar,Annie,4,0,4,1.0,0.0,2015,Spring,Blue
Sivir,Annie,19,0,19,1.0,0.0,2015,Spring,Blue
Sion,LeeSin,1,2,3,0.3333333333333333,0.6666666666666666,2015,Spring,Red
LeeSin,Azir,2,0,2,1.0,0.0,2015,Spring,Red
LeeSin,Janna,25,0,25,1.0,0.0,2015,Spring,Red
Corki,Janna,25,0,25,1.0,0.0,2015,Spring,Red
Irelia,JarvanIV,6,10,16,0.375,0.625,2015,Spring,Blue
JarvanIV,Leblanc,2,0,2,1.0,0.0,2015,Spring,Blue
JarvanIV,Thresh,25,0,25,1.0,0.0,2015,Spring,Blue
Sivir,Thresh,28,0,28,1.0,0.0,2015,Spring,Blue
Gnar,Nunu,3,1,4,0.75,0.25,2015,Spring,Red
Nunu,Lulu,2,0,2,1.0,0.0,2015,Spring,Red
Nunu,Janna,10,0,10,1.0,0.0,2015,Spring,Red
KogMaw,Janna,8,0,8,1.0,0.0,2015,Spring,Red
Gnar,JarvanIV,13,14,27,0.48148148148148145,0.5185185185185185,2015,Spring,Blue
JarvanIV,Lissandra,1,0,1,1.0,0.0,2015,Spring,Blue
JarvanIV,Janna,41,0,41,1.0,0.0,2015,Spring,Blue
Tristana,Janna,6,0,6,1.0,0.0,2015,Spring,Blue
Sion,RekSai,1,3,4,0.25,0.75,2015,Spring,Red
RekSai,Lulu,3,0,3,1.0,0.0,2015,Spring,Red
RekSai,Annie,15,0,15,1.0,0.0,2015,Spring,Red
Kassadin,Rengar,0,1,1,0.0,1.0,2015,Spring,Blue
Rengar,Leblanc,1,0,1,1.0,0.0,2015,Spring,Blue
Gnar,JarvanIV,9,16,25,0.36,0.64,2015,Spring,Red
JarvanIV,Lulu,2,0,2,1.0,0.0,2015,Spring,Red
JarvanIV,Thresh,34,0,34,1.0,0.0,2015,Spring,Red
Corki,Thresh,27,0,27,1.0,0.0,2015,Spring,Red
JarvanIV,Xerath,2,0,2,1.0,0.0,2015,Spring,Blue
Corki,Janna,32,0,32,1.0,0.0,2015,Spring,Blue
Renekton,LeeSin,0,2,2,0.0,1.0,2015,Spring,Red
LeeSin,Leblanc,1,0,1,1.0,0.0,2015,Spring,Red
LeeSin,Nami,14,0,14,1.0,0.0,2015,Spring,Red
Tristana,Nami,6,0,6,1.0,0.0,2015,Spring,Red
Renekton,JarvanIV,3,2,5,0.6,0.4,2015,Spring,Blue
JarvanIV,Azir,2,0,2,1.0,0.0,2015,Spring,Blue
JarvanIV,Annie,20,0,20,1.0,0.0,2015,Spring,Blue
Caitlyn,Annie,6,0,6,1.0,0.0,2015,Spring,Blue
Rumble,Rengar,2,5,7,0.2857142857142857,0.7142857142857143,2015,Spring,Red
Rengar,Leblanc,4,0,4,1.0,0.0,2015,Spring,Red
Rengar,Blitzcrank,1,0,1,1.0,0.0,2015,Spring,Red
Sivir,Blitzcrank,2,0,2,1.0,0.0,2015,Spring,Red
Sion,RekSai,1,4,5,0.2,0.8,2015,Spring,Blue
RekSai,Orianna,3,0,3,1.0,0.0,2015,Spring,Blue
KogMaw,Janna,5,0,5,1.0,0.0,2015,Spring,Blue
Kassadin,Vi,1,0,1,1.0,0.0,2015,Spring,Red
Vi,Zed,2,0,2,1.0,0.0,2015,Spring,Red
Vi,Morgana,1,0,1,1.0,0.0,2015,Spring,Red
Corki,Morgana,9,0,9,1.0,0.0,2015,Spring,Red
Irelia,Nocturne,1,0,1,1.0,0.0,2015,Spring,Blue
Nocturne,Orianna,2,0,2,1.0,0.0,2015,Spring,Blue
Nocturne,Nami,2,0,2,1.0,0.0,2015,Spring,Blue
Sivir,Nami,5,0,5,1.0,0.0,2015,Spring,Blue
Gnar,Rengar,5,3,8,0.625,0.375,2015,Spring,Red
Rengar,Morgana,2,0,2,1.0,0.0,2015,Spring,Red
Graves,Morgana,6,0,6,1.0,0.0,2015,Spring,Red
JarvanIV,Morgana,5,0,5,1.0,0.0,2015,Spring,Blue
Corki,Morgana,13,0,13,1.0,0.0,2015,Spring,Blue
Lulu,LeeSin,2,2,4,0.5,0.5,2015,Spring,Red
LeeSin,Xerath,3,0,3,1.0,0.0,2015,Spring,Red
Ezreal,Janna,4,0,4,1.0,0.0,2015,Spring,Red
Jax,JarvanIV,2,2,4,0.5,0.5,2015,Spring,Blue
JarvanIV,Kassadin,3,0,3,1.0,0.0,2015,Spring,Blue
Graves,Morgana,9,0,9,1.0,0.0,2015,Spring,Blue
Gnar,RekSai,5,12,17,0.29411764705882354,0.7058823529411765,2015,Spring,Red
RekSai,Ahri,1,0,1,1.0,0.0,2015,Spring,Red
RekSai,Thresh,25,0,25,1.0,0.0,2015,Spring,Red
Irelia,Vi,2,0,2,1.0,0.0,2015,Spring,Blue
Vi,Lissandra,5,0,5,1.0,0.0,2015,Spring,Blue
Vi,Annie,6,0,6,1.0,0.0,2015,Spring,Blue
Kalista,Annie,11,0,11,1.0,0.0,2015,Spring,Blue
JarvanIV,Ahri,2,0,2,1.0,0.0,2015,Spring,Red
JarvanIV,Leona,17,0,17,1.0,0.0,2015,Spring,Red
Sivir,Leona,14,0,14,1.0,0.0,2015,Spring,Red
Lulu,LeeSin,4,3,7,0.5714285714285714,0.42857142857142855,2015,Spring,Blue
LeeSin,Xerath,3,0,3,1.0,0.0,2015,Spring,Blue
LeeSin,Janna,19,0,19,1.0,0.0,2015,Spring,Blue
Sion,JarvanIV,6,3,9,0.6666666666666666,0.3333333333333333,2015,Spring,Red
JarvanIV,Cassiopeia,3,0,3,1.0,0.0,2015,Spring,Red
JarvanIV,Blitzcrank,3,0,3,1.0,0.0,2015,Spring,Red
Kalista,Blitzcrank,2,0,2,1.0,0.0,2015,Spring,Red
Maokai,JarvanIV,16,6,22,0.7272727272727273,0.2727272727272727,2015,Spring,Blue
Lulu,Rengar,2,1,3,0.6666666666666666,0.3333333333333333,2015,Spring,Red
Rengar,Janna,7,0,7,1.0,0.0,2015,Spring,Red
Tristana,Janna,8,0,8,1.0,0.0,2015,Spring,Red
Rumble,Vi,5,0,5,1.0,0.0,2015,Spring,Blue
Vi,Zed,3,0,3,1.0,0.0,2015,Spring,Blue
Vi,Morgana,7,0,7,1.0,0.0,2015,Spring,Blue
Caitlyn,Morgana,6,0,6,1.0,0.0,2015,Spring,Blue
RekSai,Leblanc,4,0,4,1.0,0.0,2015,Spring,Red
RekSai,Janna,19,0,19,1.0,0.0,2015,Spring,Red
JarvanIV,Nami,13,0,13,1.0,0.0,2015,Spring,Blue
KogMaw,Nami,9,0,9,1.0,0.0,2015,Spring,Blue
Maokai,LeeSin,10,13,23,0.43478260869565216,0.5652173913043478,2015,Spring,Red
LeeSin,Zed,1,0,1,1.0,0.0,2015,Spring,Red
Sivir,Janna,17,0,17,1.0,0.0,2015,Spring,Red
Lissandra,JarvanIV,8,6,14,0.5714285714285714,0.42857142857142855,2015,Spring,Blue
Tristana,Morgana,5,0,5,1.0,0.0,2015,Spring,Blue
Nunu,Ahri,2,0,2,1.0,0.0,2015,Spring,Red
Caitlyn,Janna,6,0,6,1.0,0.0,2015,Spring,Red
Gnar,LeeSin,7,5,12,0.5833333333333334,0.4166666666666667,2015,Spring,Blue
LeeSin,Leblanc,1,0,1,1.0,0.0,2015,Spring,Blue
LeeSin,Nami,9,0,9,1.0,0.0,2015,Spring,Blue
Malphite,JarvanIV,0,2,2,0.0,1.0,2015,Spring,Red
JarvanIV,Orianna,3,0,3,1.0,0.0,2015,Spring,Red
JarvanIV,Janna,32,0,32,1.0,0.0,2015,Spring,Red
Graves,Janna,19,0,19,1.0,0.0,2015,Spring,Red
Sion,Rengar,0,1,1,0.0,1.0,2015,Spring,Blue
Rengar,Janna,11,0,11,1.0,0.0,2015,Spring,Blue
Sivir,Janna,25,0,25,1.0,0.0,2015,Spring,Blue
Lissandra,JarvanIV,6,4,10,0.6,0.4,2015,Spring,Red
JarvanIV,Corki,1,0,1,1.0,0.0,2015,Spring,Red
Kalista,Thresh,20,0,20,1.0,0.0,2015,Spring,Red
Lulu,RekSai,5,6,11,0.45454545454545453,0.5454545454545454,2015,Spring,Blue
RekSai,Corki,1,0,1,1.0,0.0,2015,Spring,Blue
RekSai,Morgana,21,0,21,1.0,0.0,2015,Spring,Blue
Kalista,Morgana,5,0,5,1.0,0.0,2015,Spring,Blue
Rumble,LeeSin,6,9,15,0.4,0.6,2015,Spring,Red
LeeSin,Ahri,2,0,2,1.0,0.0,2015,Spring,Red
LeeSin,Annie,18,0,18,1.0,0.0,2015,Spring,Red
Graves,Annie,17,0,17,1.0,0.0,2015,Spring,Red
Maokai,Vi,5,5,10,0.5,0.5,2015,Spring,Blue
Vi,Kassadin,1,0,1,1.0,0.0,2015,Spring,Blue
Graves,Annie,14,0,14,1.0,0.0,2015,Spring,Blue
RekSai,Vi,0,1,1,0.0,1.0,2015,Spring,Blue
Vi,Azir,1,0,1,1.0,0.0,2015,Spring,Blue
Vi,Thresh,9,0,9,1.0,0.0,2015,Spring,Blue
Corki,Thresh,23,0,23,1.0,0.0,2015,Spring,Blue
LeeSin,Morgana,2,0,2,1.0,0.0,2015,Spring,Red
Sivir,Morgana,13,0,13,1.0,0.0,2015,Spring,Red
Lissandra,RekSai,6,2,8,0.75,0.25,2015,Spring,Blue
RekSai,Xerath,3,0,3,1.0,0.0,2015,Spring,Blue
RekSai,Nami,13,0,13,1.0,0.0,2015,Spring,Blue
Vayne,Nami,2,0,2,1.0,0.0,2015,Spring,Blue
JarvanIV,Morgana,9,0,9,1.0,0.0,2015,Spring,Red
Irelia,Vi,2,2,4,0.5,0.5,2015,Spring,Red
Vi,Nidalee,1,0,1,1.0,0.0,2015,Spring,Red
Jinx,Morgana,5,0,5,1.0,0.0,2015,Spring,Red
Vi,Leblanc,1,0,1,1.0,0.0,2015,Spring,Blue
Maokai,JarvanIV,16,13,29,0.5517241379310345,0.4482758620689655,2015,Spring,Red
JarvanIV,Xerath,4,0,4,1.0,0.0,2015,Spring,Red
Lucian,Janna,23,0,23,1.0,0.0,2015,Spring,Red
Lissandra,LeeSin,5,3,8,0.625,0.375,2015,Spring,Blue
LeeSin,Ezreal,1,0,1,1.0,0.0,2015,Spring,Blue
LeeSin,Alistar,2,0,2,1.0,0.0,2015,Spring,Blue
Sivir,Alistar,7,0,7,1.0,0.0,2015,Spring,Blue
Vi,Azir,1,0,1,1.0,0.0,2015,Spring,Red
Vi,Janna,6,0,6,1.0,0.0,2015,Spring,Red
Vi,Ezreal,1,0,1,1.0,0.0,2015,Spring,Blue
Vayne,Annie,2,0,2,1.0,0.0,2015,Spring,Blue
Rumble,JarvanIV,9,16,25,0.36,0.64,2015,Spring,Red
Jax,RekSai,1,2,3,0.3333333333333333,0.6666666666666666,2015,Spring,Blue
RekSai,Lissandra,2,0,2,1.0,0.0,2015,Spring,Blue
Gnar,LeeSin,4,2,6,0.6666666666666666,0.3333333333333333,2015,Spring,Red
LeeSin,Lulu,4,0,4,1.0,0.0,2015,Spring,Red
Kalista,Annie,12,0,12,1.0,0.0,2015,Spring,Red
Sion,Vi,2,0,2,1.0,0.0,2015,Spring,Blue
Vi,Ahri,2,0,2,1.0,0.0,2015,Spring,Blue
Vi,Janna,4,0,4,1.0,0.0,2015,Spring,Blue
LeeSin,Yasuo,1,0,1,1.0,0.0,2015,Spring,Red
RekSai,Leblanc,1,0,1,1.0,0.0,2015,Spring,Blue
RekSai,Thresh,29,0,29,1.0,0.0,2015,Spring,Blue
Kalista,Thresh,23,0,23,1.0,0.0,2015,Spring,Blue
JarvanIV,Nidalee,1,0,1,1.0,0.0,2015,Spring,Red
Lissandra,Vi,2,0,2,1.0,0.0,2015,Spring,Blue
Maokai,RekSai,11,12,23,0.4782608695652174,0.5217391304347826,2015,Spring,Red
RekSai,Ezreal,2,0,2,1.0,0.0,2015,Spring,Red
RekSai,Leona,11,0,11,1.0,0.0,2015,Spring,Red
Maokai,Nidalee,5,3,8,0.625,0.375,2015,Spring,Red
Nidalee,Zed,3,0,3,1.0,0.0,2015,Spring,Red
Nidalee,Janna,6,0,6,1.0,0.0,2015,Spring,Red
Kalista,Janna,8,0,8,1.0,0.0,2015,Spring,Red
Maokai,RekSai,22,8,30,0.7333333333333333,0.26666666666666666,2015,Spring,Blue
RekSai,Kassadin,4,0,4,1.0,0.0,2015,Spring,Blue
Draven,Thresh,1,0,1,1.0,0.0,2015,Spring,Blue
Graves,Leona,8,0,8,1.0,0.0,2015,Spring,Red
JarvanIV,Braum,4,0,4,1.0,0.0,2015,Spring,Blue
Graves,Braum,3,0,3,1.0,0.0,2015,Spring,Blue
Lissandra,Vi,1,3,4,0.25,0.75,2015,Spring,Red
RekSai,Leona,12,0,12,1.0,0.0,2015,Spring,Blue
Graves,Leona,12,0,12,1.0,0.0,2015,Spring,Blue
Maokai,Vi,9,4,13,0.6923076923076923,0.3076923076923077,2015,Spring,Red
Vi,Kassadin,1,0,1,1.0,0.0,2015,Spring,Red
Jinx,Morgana,7,0,7,1.0,0.0,2015,Spring,Blue
Graves,Thresh,15,0,15,1.0,0.0,2015,Spring,Red
Gnar,Vi,0,1,1,0.0,1.0,2015,Spring,Blue
Sivir,Annie,16,0,16,1.0,0.0,2015,Spring,Red
Graves,Thresh,19,0,19,1.0,0.0,2015,Spring,Blue
Swain,JarvanIV,0,1,1,0.0,1.0,2015,Spring,Red
Renekton,LeeSin,1,1,2,0.5,0.5,2015,Spring,Blue
LeeSin,Kassadin,2,0,2,1.0,0.0,2015,Spring,Blue
LeeSin,Annie,9,0,9,1.0,0.0,2015,Spring,Blue
Corki,Annie,12,0,12,1.0,0.0,2015,Spring,Blue
Vi,Orianna,2,0,2,1.0,0.0,2015,Spring,Red
Fizz,RekSai,1,2,3,0.3333333333333333,0.6666666666666666,2015,Spring,Blue
Vi,Leblanc,4,0,4,1.0,0.0,2015,Spring,Red
Vi,Annie,6,0,6,1.0,0.0,2015,Spring,Red
Gnar,RekSai,12,9,21,0.5714285714285714,0.42857142857142855,2015,Spring,Blue
RekSai,Annie,13,0,13,1.0,0.0,2015,Spring,Blue
Maokai,Nunu,3,1,4,0.75,0.25,2015,Spring,Red
Nunu,Kassadin,1,0,1,1.0,0.0,2015,Spring,Red
Nunu,Morgana,2,0,2,1.0,0.0,2015,Spring,Red
Maokai,Nidalee,9,4,13,0.6923076923076923,0.3076923076923077,2015,Spring,Blue
Nidalee,Zed,4,0,4,1.0,0.0,2015,Spring,Blue
Nidalee,Veigar,1,0,1,1.0,0.0,2015,Spring,Blue
Corki,Veigar,2,0,2,1.0,0.0,2015,Spring,Blue
DrMundo,LeeSin,0,6,6,0.0,1.0,2015,Spring,Red
LeeSin,Thresh,26,0,26,1.0,0.0,2015,Spring,Red
Rumble,RekSai,12,4,16,0.75,0.25,2015,Spring,Blue
Lucian,Morgana,8,0,8,1.0,0.0,2015,Spring,Blue
Vi,Ahri,1,0,1,1.0,0.0,2015,Spring,Red
Vi,Braum,2,0,2,1.0,0.0,2015,Spring,Red
Tristana,Braum,2,0,2,1.0,0.0,2015,Spring,Red
Kassadin,RekSai,2,1,3,0.6666666666666666,0.3333333333333333,2015,Spring,Red
RekSai,Zed,1,0,1,1.0,0.0,2015,Spring,Red
RekSai,Blitzcrank,2,0,2,1.0,0.0,2015,Spring,Red
RekSai,Zed,3,0,3,1.0,0.0,2015,Spring,Blue
RekSai,Braum,6,0,6,1.0,0.0,2015,Spring,Blue
Corki,Braum,6,0,6,1.0,0.0,2015,Spring,Blue
Jinx,Janna,13,0,13,1.0,0.0,2015,Spring,Red
Graves,Janna,21,0,21,1.0,0.0,2015,Spring,Blue
Renekton,JarvanIV,1,2,3,0.3333333333333333,0.6666666666666666,2015,Spring,Red
JarvanIV,Kassadin,1,0,1,1.0,0.0,2015,Spring,Red
JarvanIV,Leblanc,1,0,1,1.0,0.0,2015,Spring,Red
Morgana,RekSai,2,0,2,1.0,0.0,2015,Spring,Blue
RekSai,Lulu,2,0,2,1.0,0.0,2015,Spring,Blue
DrMundo,Nunu,0,1,1,0.0,1.0,2015,Spring,Red
Nunu,Zed,1,0,1,1.0,0.0,2015,Spring,Red
Nunu,Braum,1,0,1,1.0,0.0,2015,Spring,Red
Corki,Braum,7,0,7,1.0,0.0,2015,Spring,Red
JarvanIV,Syndra,1,0,1,1.0,0.0,2015,Spring,Blue
RekSai,Braum,2,0,2,1.0,0.0,2015,Spring,Red
Graves,Nami,5,0,5,1.0,0.0,2015,Spring,Blue
JarvanIV,Ezreal,3,0,3,1.0,0.0,2015,Spring,Red
Kennen,RekSai,5,3,8,0.625,0.375,2015,Spring,Blue
Hecarim,Nidalee,0,2,2,0.0,1.0,2015,Spring,Red
Nidalee,Viktor,1,0,1,1.0,0.0,2015,Spring,Red
Nidalee,Morgana,3,0,3,1.0,0.0,2015,Spring,Red
Renekton,Vi,0,1,1,0.0,1.0,2015,Spring,Red
Vi,Ezreal,1,0,1,1.0,0.0,2015,Spring,Red
JarvanIV,Ezreal,5,0,5,1.0,0.0,2015,Spring,Blue
Hecarim,RekSai,5,5,10,0.5,0.5,2015,Spring,Red
RekSai,Kassadin,1,0,1,1.0,0.0,2015,Spring,Red
RekSai,Veigar,2,0,2,1.0,0.0,2015,Spring,Blue
Graves,Veigar,3,0,3,1.0,0.0,2015,Spring,Blue
Rengar,Ezreal,1,0,1,1.0,0.0,2015,Spring,Red
Rengar,Annie,8,0,8,1.0,0.0,2015,Spring,Red
Nidalee,Morgana,3,0,3,1.0,0.0,2015,Spring,Blue
Morgana,LeeSin,3,1,4,0.75,0.25,2015,Spring,Blue
LeeSin,Leona,10,0,10,1.0,0.0,2015,Spring,Blue
Irelia,RekSai,0,3,3,0.0,1.0,2015,Spring,Red
Rumble,Nidalee,1,1,2,0.5,0.5,2015,Spring,Blue
