,time,quantidade_vitorias,champ1,champ2,ano,season,champComp
0,BLUE,113,Kalista,Thresh,2015,Spring,Kalista/Thresh
1,BLUE,97,Elise,Braum,2015,Summer,Elise/Braum
4,BLUE,89,Gragas,Sivir,2015,Summer,Gragas/Sivir
7,BLUE,83,RekSai,Lucian,2015,Spring,RekSai/Lucian
8,BLUE,83,Gragas,Braum,2015,Summer,Gragas/Braum
9,BLUE,83,RekSai,Thresh,2015,Spring,RekSai/Thresh
11,BLUE,82,Gragas,Thresh,2015,Summer,Gragas/Thresh
12,BLUE,79,Lucian,Braum,2016,Spring,Lucian/Braum
14,BLUE,77,Gnar,Gragas,2015,Summer,Gnar/Gragas
16,BLUE,76,RekSai,Braum,2015,Spring,RekSai/Braum
18,BLUE,75,RekSai,Alistar,2015,Summer,RekSai/Alistar
19,BLUE,74,Elise,Thresh,2016,Spring,Elise/Thresh
22,BLUE,73,Viktor,RekSai,2015,Summer,Viktor/RekSai
24,BLUE,72,RekSai,Sivir,2015,Spring,RekSai/Sivir
27,BLUE,70,RekSai,Ashe,2015,Summer,RekSai/Ashe
30,BLUE,69,Maokai,Thresh,2015,Spring,Maokai/Thresh
31,BLUE,68,RekSai,Kalista,2015,Summer,RekSai/Kalista
33,BLUE,67,Maokai,RekSai,2015,Spring,Maokai/RekSai
34,BLUE,66,Maokai,Sivir,2015,Spring,Maokai/Sivir
38,BLUE,64,Rumble,RekSai,2015,Spring,Rumble/RekSai
39,BLUE,63,Gragas,Kalista,2015,Summer,Gragas/Kalista
40,BLUE,63,Caitlyn,Braum,2016,Summer,Caitlyn/Braum
45,BLUE,61,Gnar,RekSai,2015,Summer,Gnar/RekSai
46,BLUE,61,Elise,Ashe,2015,Summer,Elise/Ashe
47,BLUE,61,Kalista,Braum,2015,Summer,Kalista/Braum
48,BLUE,61,Sivir,Braum,2016,Summer,Sivir/Braum
50,BLUE,60,Gragas,Lucian,2016,Spring,Gragas/Lucian
51,BLUE,60,Corki,Thresh,2015,Spring,Corki/Thresh
56,BLUE,59,Elise,Alistar,2015,Summer,Elise/Alistar
57,BLUE,59,Ashe,Zyra,2017,Spring,Ashe/Zyra
58,BLUE,58,Elise,Lucian,2016,Spring,Elise/Lucian
59,BLUE,58,Elise,Varus,2017,Summer,Elise/Varus
60,BLUE,58,LeeSin,Thresh,2017,Spring,LeeSin/Thresh
61,BLUE,57,Khazix,Ashe,2017,Spring,Khazix/Ashe
62,BLUE,57,Khazix,Varus,2015,Summer,Khazix/Varus
63,BLUE,56,Azir,Sivir,2015,Summer,Azir/Sivir
64,BLUE,56,Nidalee,Braum,2015,Summer,Nidalee/Braum
65,BLUE,56,Sivir,Alistar,2015,Spring,Sivir/Alistar
