,time,quantidade_vitorias,champ1,champ2,ano,season,champComp
2,RED,96,Gragas,Sivir,2015,Summer,Gragas/Sivir
3,RED,89,RekSai,Sivir,2015,Spring,RekSai/Sivir
5,RED,88,Gragas,Braum,2015,Spring,Gragas/Braum
6,RED,83,RekSai,Thresh,2015,Spring,RekSai/Thresh
10,RED,82,Maokai,Sivir,2015,Spring,Maokai/Sivir
13,RED,78,Kalista,Thresh,2015,Spring,Kalista/Thresh
15,RED,76,Gnar,Gragas,2015,Summer,Gnar/Gragas
17,RED,75,RekSai,Braum,2015,Spring,RekSai/Braum
20,RED,73,Elise,Braum,2016,Spring,Elise/Braum
21,RED,73,Gragas,Alistar,2015,Summer,Gragas/Alistar
23,RED,72,RekSai,Lucian,2016,Spring,RekSai/Lucian
25,RED,71,Elise,Thresh,2015,Summer,Elise/Thresh
26,RED,70,Maokai,RekSai,2015,Spring,Maokai/RekSai
28,RED,69,Gragas,Thresh,2015,Summer,Gragas/Thresh
29,RED,69,Lucian,Braum,2015,Spring,Lucian/Braum
32,RED,67,Elise,Lucian,2016,Spring,Elise/Lucian
35,RED,65,Elise,Alistar,2015,Summer,Elise/Alistar
36,RED,64,Maokai,Corki,2015,Spring,Maokai/Corki
37,RED,64,Kalista,Alistar,2015,Summer,Kalista/Alistar
41,RED,62,Corki,Braum,2015,Spring,Corki/Braum
42,RED,62,Corki,Thresh,2015,Spring,Corki/Thresh
43,RED,61,Elise,Ashe,2016,Summer,Elise/Ashe
44,RED,61,RekSai,Alistar,2015,Summer,RekSai/Alistar
49,RED,60,Viktor,RekSai,2016,Spring,Viktor/RekSai
52,RED,59,Gnar,RekSai,2015,Summer,Gnar/RekSai
53,RED,59,Elise,Ezreal,2016,Summer,Elise/Ezreal
54,RED,59,RekSai,Jhin,2016,Summer,RekSai/Jhin
55,RED,59,Sivir,Alistar,2015,Summer,Sivir/Alistar
66,RED,55,Orianna,Thresh,2015,Summer,Orianna/Thresh
67,RED,55,Elise,Sivir,2015,Summer,Elise/Sivir
68,RED,55,RekSai,Kalista,2015,Summer,RekSai/Kalista
69,RED,55,Ezreal,Karma,2016,Summer,Ezreal/Karma
70,RED,55,Sivir,Braum,2015,Spring,Sivir/Braum
74,RED,54,Gnar,Sivir,2015,Summer,Gnar/Sivir
78,RED,53,Maokai,Thresh,2015,Spring,Maokai/Thresh
79,RED,53,Viktor,Braum,2015,Summer,Viktor/Braum
80,RED,53,Sivir,Karma,2016,Summer,Sivir/Karma
85,RED,52,Gragas,Kalista,2015,Summer,Gragas/Kalista
86,RED,52,LeeSin,Ashe,2017,Spring,LeeSin/Ashe
91,RED,51,Sivir,Thresh,2015,Spring,Sivir/Thresh
97,RED,50,Shen,Ashe,2016,Summer,Shen/Ashe
98,RED,50,Maokai,Braum,2015,Spring,Maokai/Braum
99,RED,50,Orianna,LeeSin,2015,Summer,Orianna/LeeSin
100,RED,50,Ashe,Karma,2016,Summer,Ashe/Karma
106,RED,49,Azir,RekSai,2015,Summer,Azir/RekSai
107,RED,49,RekSai,Ashe,2016,Summer,RekSai/Ashe
108,RED,49,Ezreal,Braum,2016,Spring,Ezreal/Braum
118,RED,48,Trundle,Elise,2016,Summer,Trundle/Elise
119,RED,48,Khazix,Ashe,2017,Spring,Khazix/Ashe
120,RED,48,Ashe,Zyra,2016,Summer,Ashe/Zyra
121,RED,48,Lucian,Alistar,2016,Spring,Lucian/Alistar
126,RED,47,Gragas,Ashe,2015,Summer,Gragas/Ashe
127,RED,47,LeeSin,Varus,2017,Spring,LeeSin/Varus
128,RED,47,Gragas,Janna,2015,Summer,Gragas/Janna
129,RED,47,Jhin,Karma,2016,Spring,Jhin/Karma
140,RED,46,Trundle,Gragas,2016,Spring,Trundle/Gragas
141,RED,46,Gnar,Braum,2015,Summer,Gnar/Braum
142,RED,46,Cassiopeia,Gragas,2015,Summer,Cassiopeia/Gragas
143,RED,46,Orianna,Varus,2017,Spring,Orianna/Varus
144,RED,46,Gragas,Lucian,2015,Spring,Gragas/Lucian
145,RED,46,Gragas,Tristana,2015,Summer,Gragas/Tristana
148,RED,45,Cassiopeia,RekSai,2016,Summer,Cassiopeia/RekSai
157,RED,44,Rumble,RekSai,2015,Summer,Rumble/RekSai
158,RED,44,Shen,Karma,2016,Summer,Shen/Karma
159,RED,44,LeeSin,Thresh,2017,Spring,LeeSin/Thresh
160,RED,44,RekSai,Karma,2016,Summer,RekSai/Karma
171,RED,43,Maokai,Khazix,2017,Spring,Maokai/Khazix
172,RED,43,Shen,RekSai,2016,Summer,Shen/RekSai
173,RED,43,Gnar,Thresh,2015,Spring,Gnar/Thresh
174,RED,43,Corki,Gragas,2015,Spring,Corki/Gragas
175,RED,43,Viktor,Gragas,2015,Summer,Viktor/Gragas
176,RED,43,Ezreal,Alistar,2015,Summer,Ezreal/Alistar
177,RED,43,Ashe,Braum,2015,Summer,Ashe/Braum
178,RED,43,Xayah,Rakan,2017,Summer,Xayah/Rakan
184,RED,42,Poppy,Elise,2016,Spring,Poppy/Elise
185,RED,42,Gnar,Alistar,2015,Summer,Gnar/Alistar
186,RED,42,Orianna,Gragas,2015,Summer,Orianna/Gragas
187,RED,42,Corki,Janna,2016,Spring,Corki/Janna
188,RED,42,Elise,Jhin,2016,Summer,Elise/Jhin
189,RED,42,Ashe,Thresh,2016,Summer,Ashe/Thresh
190,RED,42,Jhin,Thresh,2016,Summer,Jhin/Thresh
197,RED,41,Gnar,Elise,2015,Summer,Gnar/Elise
198,RED,41,Gragas,Varus,2017,Summer,Gragas/Varus
199,RED,41,Orianna,Elise,2015,Summer,Orianna/Elise
200,RED,41,Gragas,Jhin,2016,Spring,Gragas/Jhin
201,RED,41,Khazix,Jhin,2017,Spring,Khazix/Jhin
202,RED,41,Elise,Karma,2015,Summer,Elise/Karma
203,RED,41,RekSai,Bard,2015,Summer,RekSai/Bard
204,RED,41,Lucian,Thresh,2015,Spring,Lucian/Thresh
216,RED,40,Maokai,LeeSin,2015,Spring,Maokai/LeeSin
217,RED,40,Maokai,Jhin,2017,Spring,Maokai/Jhin
218,RED,40,Trundle,Sivir,2016,Summer,Trundle/Sivir
219,RED,40,Maokai,Alistar,2015,Summer,Maokai/Alistar
220,RED,40,Cassiopeia,Ashe,2016,Summer,Cassiopeia/Ashe
