CHAMP1_POSITION,CHAMP2_POSITION,YEAR,SEASON,TEAM,CHAMP1_TYPE,CHAMP2_TYPE,VICTORY,DEFEAT,TOTALPLAYED,PERCENTVICTORY,PERCENTDEFEAT
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Dash', 'Debuff', 'Sight']","['Dash', 'Sight']",1,2,3,0.3333333333333333,0.6666666666666666
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Dash', 'Debuff', 'Sight']",['Dash'],1,2,3,0.3333333333333333,0.6666666666666666
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Dash', 'Debuff', 'Sight']","['Debuff', 'Sight']",1,2,3,0.3333333333333333,0.6666666666666666
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Dash', 'Debuff', 'Sight']",['Magic_damage'],1,2,3,0.3333333333333333,0.6666666666666666
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Dash', 'Debuff', 'Sight']",['Spell_shield'],1,1,2,0.5,0.5
AD_CARRY,SUPPORT,2014,Summer,Blue,['Dash'],['Aura'],12,6,18,0.6666666666666666,0.3333333333333333
AD_CARRY,SUPPORT,2014,Summer,Blue,['Dash'],"['Combat_status', 'Debuff', 'Untargetability']",1,1,2,0.5,0.5
AD_CARRY,SUPPORT,2014,Summer,Blue,['Dash'],['Combat_status'],1,1,2,0.5,0.5
AD_CARRY,SUPPORT,2014,Summer,Blue,['Dash'],"['Dash', 'Sight']",6,5,11,0.5454545454545454,0.45454545454545453
AD_CARRY,SUPPORT,2014,Summer,Blue,['Dash'],['Dash'],12,7,19,0.631578947368421,0.3684210526315789
AD_CARRY,SUPPORT,2014,Summer,Blue,['Dash'],"['Debuff', 'Sight']",6,5,11,0.5454545454545454,0.45454545454545453
AD_CARRY,SUPPORT,2014,Summer,Blue,['Dash'],['Debuff'],4,3,7,0.5714285714285714,0.42857142857142855
AD_CARRY,SUPPORT,2014,Summer,Blue,['Dash'],"['Magic_damage', 'Physical_damage', 'Debuff']",2,0,2,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,['Dash'],['Magic_damage'],6,5,11,0.5454545454545454,0.45454545454545453
AD_CARRY,SUPPORT,2014,Summer,Blue,['Dash'],['Sight'],6,4,10,0.6,0.4
AD_CARRY,SUPPORT,2014,Summer,Blue,['Dash'],['Spell_shield'],3,5,8,0.375,0.625
AD_CARRY,SUPPORT,2014,Summer,Blue,['Dash'],['True_damage'],16,5,21,0.7619047619047619,0.23809523809523808
AD_CARRY,SUPPORT,2014,Summer,Blue,['Dash'],['Untargetability'],1,1,2,0.5,0.5
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Debuff', 'Sight']",['Aura'],4,4,8,0.5,0.5
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Debuff', 'Sight']","['Combat_status', 'Debuff', 'Untargetability']",1,0,1,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Debuff', 'Sight']",['Combat_status'],1,0,1,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Debuff', 'Sight']","['Dash', 'Sight']",1,3,4,0.25,0.75
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Debuff', 'Sight']",['Dash'],3,4,7,0.42857142857142855,0.5714285714285714
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Debuff', 'Sight']","['Debuff', 'Sight']",1,3,4,0.25,0.75
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Debuff', 'Sight']",['Debuff'],2,2,4,0.5,0.5
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Debuff', 'Sight']",['Magic_damage'],1,3,4,0.25,0.75
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Debuff', 'Sight']",['Sight'],2,0,2,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Debuff', 'Sight']",['Spell_shield'],1,0,1,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Debuff', 'Sight']",['True_damage'],6,2,8,0.75,0.25
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Debuff', 'Sight']",['Untargetability'],1,0,1,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,['Debuff'],['Aura'],4,4,8,0.5,0.5
AD_CARRY,SUPPORT,2014,Summer,Blue,['Debuff'],"['Combat_status', 'Debuff', 'Untargetability']",1,0,1,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,['Debuff'],['Combat_status'],1,0,1,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,['Debuff'],"['Dash', 'Sight']",1,3,4,0.25,0.75
AD_CARRY,SUPPORT,2014,Summer,Blue,['Debuff'],['Dash'],3,4,7,0.42857142857142855,0.5714285714285714
AD_CARRY,SUPPORT,2014,Summer,Blue,['Debuff'],"['Debuff', 'Sight']",1,3,4,0.25,0.75
AD_CARRY,SUPPORT,2014,Summer,Blue,['Debuff'],['Debuff'],2,2,4,0.5,0.5
AD_CARRY,SUPPORT,2014,Summer,Blue,['Debuff'],['Magic_damage'],1,3,4,0.25,0.75
AD_CARRY,SUPPORT,2014,Summer,Blue,['Debuff'],['Sight'],2,0,2,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,['Debuff'],['Spell_shield'],1,0,1,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,['Debuff'],['True_damage'],6,2,8,0.75,0.25
AD_CARRY,SUPPORT,2014,Summer,Blue,['Debuff'],['Untargetability'],1,0,1,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Dash']",['Aura'],3,0,3,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Dash']","['Dash', 'Sight']",4,0,4,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Dash']",['Dash'],5,1,6,0.8333333333333334,0.16666666666666666
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Dash']","['Debuff', 'Sight']",4,0,4,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Dash']",['Debuff'],1,1,2,0.5,0.5
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Dash']",['Magic_damage'],4,0,4,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Dash']",['Sight'],0,1,1,0.0,1.0
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Dash']",['Spell_shield'],1,3,4,0.25,0.75
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Dash']",['True_damage'],4,1,5,0.8,0.2
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Debuff']",['Aura'],3,0,3,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Debuff']","['Dash', 'Sight']",4,0,4,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Debuff']",['Dash'],5,1,6,0.8333333333333334,0.16666666666666666
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Debuff']","['Debuff', 'Sight']",4,0,4,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Debuff']",['Debuff'],1,1,2,0.5,0.5
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Debuff']",['Magic_damage'],4,0,4,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Debuff']",['Sight'],0,1,1,0.0,1.0
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Debuff']",['Spell_shield'],1,3,4,0.25,0.75
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Debuff']",['True_damage'],4,1,5,0.8,0.2
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Sight']",['Aura'],3,0,3,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Sight']","['Dash', 'Sight']",4,0,4,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Sight']",['Dash'],5,1,6,0.8333333333333334,0.16666666666666666
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Sight']","['Debuff', 'Sight']",4,0,4,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Sight']",['Debuff'],1,1,2,0.5,0.5
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Sight']",['Magic_damage'],4,0,4,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Sight']",['Sight'],0,1,1,0.0,1.0
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Sight']",['Spell_shield'],1,3,4,0.25,0.75
AD_CARRY,SUPPORT,2014,Summer,Blue,"['Magic_damage', 'Sight']",['True_damage'],4,1,5,0.8,0.2
AD_CARRY,SUPPORT,2014,Summer,Blue,['Magic_damage'],['Aura'],6,0,6,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,['Magic_damage'],"['Dash', 'Sight']",8,0,8,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,['Magic_damage'],['Dash'],10,2,12,0.8333333333333334,0.16666666666666666
AD_CARRY,SUPPORT,2014,Summer,Blue,['Magic_damage'],"['Debuff', 'Sight']",8,0,8,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,['Magic_damage'],['Debuff'],2,2,4,0.5,0.5
AD_CARRY,SUPPORT,2014,Summer,Blue,['Magic_damage'],['Magic_damage'],8,0,8,1.0,0.0
AD_CARRY,SUPPORT,2014,Summer,Blue,['Magic_damage'],['Sight'],0,2,2,0.0,1.0
AD_CARRY,SUPPORT,2014,Summer,Blue,['Magic_damage'],['Spell_shield'],2,6,8,0.25,0.75
AD_CARRY,SUPPORT,2014,Summer,Blue,['Magic_damage'],['True_damage'],8,2,10,0.8,0.2
